"Category","Name","Description","Examples"
"""Naughty"" & Forbidden Fun","Unexpected Bodily Noises","A character letting out a loud, surprising bodily sound (burp, hiccup, sneeze) at a funny moment, especially if it has an exaggerated effect on the environment.","""The quiet king took a sip of his royal juice. Then he let out a giant, echoing BUUUURP!""; ""The giant sneezed a mighty AH-CHOO! that blew the hat right off the scarecrow's head.""; ""He got the hiccups. Each hic! was so strong it made him jump a little bit off the ground."""
"Character Humor","Dramatic Overreaction","A character reacting to a tiny, insignificant event with huge, theatrical emotion or action. The disproportionate response is what's funny.","""A single ladybug landed on the elephant's nose. 'A MONSTER!' he shrieked, and hid behind a tiny flower.""; ""The wolf saw a spider. He screamed, jumped on a chair, and pulled his feet up.""; ""His ice cream dripped once on his hand. 'Oh no!' he cried. 'It's melting! A disaster!'"""
"Category","Name","Description","Examples"
"Sudden Escalation","The Runaway Action","A simple, controlled action suddenly becomes an unstoppable, chaotic event. The humor comes from the violent, unexpected loss of control.","""He started spinning in a circle. But he couldn't stop. He spun faster and faster until he drilled a hole right through the floor.""; ""She started to roll the snowball. It rolled away from her, getting bigger and bigger until it scooped up the snowman and rolled right out of town.""; ""He blew one bubble. The bubble didn't pop. It just kept getting bigger until it lifted him off the ground."""
"Physical Betrayal","The Object's Revenge","An everyday object doesn't just fail; it actively does the opposite of what's intended, in a way that's comically unhelpful or embarrassing.","""He went to sit on the chair, but the chair scooted backwards. He sat on the floor with a THUMP.""; ""She tried to drink her milk, but the bottom of the cup fell out. The milk poured right into her boots.""; ""He put on his pants, but the pants had their own idea. They wiggled off his legs and ran out the door."""
"Auditory Shock","The Sound Mismatch","A sound effect is completely wrong for its source, creating a moment of pure auditory nonsense. The more serious the setup, the funnier the sound.","""The big, scary dragon opened its mouth to breathe fire... and it burped the alphabet. 'A-B-C-D-E-F-G...'""; ""He knocked on the door. Knock, knock. The door mooed back at him. MOOO!""; ""The mouse tried to be quiet, but its feet made loud HONKING noises with every step. HONK! HONK! HONK!"""
"Absurd Logic","The Wrong Tool for the Job","A character uses a completely, ridiculously inappropriate object to solve a problem, with unwavering confidence. The humor is in the visual of the nonsensical action.","""The soup was too hot. So Dad got the vacuum cleaner and tried to suck the heat out of the bowl.""; ""A bird was stuck in the chimney. So the fireman tried to catch it with a fishing rod and a worm.""; ""The car wouldn't start. So the driver got out and started tickling it."""
"Broken Reality","The Sudden Animation","An inanimate object comes to life without warning to perform one specific, funny action before becoming inanimate again.","""His drawing of a smiley face on the page winked at him, then went back to being a normal drawing.""; ""The garden gnome saw him trip, shook its head in disappointment, and then froze again.""; ""As she walked past, the coat on the coat rack reached out an arm and tried to steal her cookie."""
"Anticlimax","The Big Reveal Is a Dud","A moment of huge buildup and suspense leads to a reveal that is incredibly tiny, mundane, or silly. The humor is in the dramatic deflation of expectation.","""The giant, rumbling treasure chest creaked open. Inside was... a single, lost sock.""; ""The huge monster stomped into the city. It opened its giant mouth and whispered, 'Does anyone have a tissue?'""; ""The magician shouted, 'BEHOLD!' He pulled the sheet off the cage. The tiger was gone. In its place sat a hamster, eating a tiny piece of cheese."""
"Dual-Layer Humor","Relatable Parenting","An action perfectly mirrors a universal parenting moment. The child sees a simple action, while the adult feels a deep, humorous recognition.","""Child 'helps' make a mess: 'the thank-you-for-helping smile.'""; ""Child asks 'why' again: 'the long, slow parent breath.'""; ""Sudden silence from child: 'the suspicious quiet.'"""
"Dual-Layer Humor","The Dry Understatement","A character reacts to a massive, chaotic event with a comically calm or technical observation. The humor is in the extreme lack of panic.","""Tower falls: 'a structural integrity issue.'""; ""Juice spill: 'a minor containment breach.'""; ""Jelly volcano erupts: 'an unforeseen liquidity event.'"""
"Dual-Layer Humor","Sophisticated Critter","An animal or child character expresses surprisingly complex or trendy adult preferences. The humor comes from their unexpected worldliness.","""Bear cub on story: 'the plot feels derivative.'""; ""Squirrel rejecting nut: 'a bit too mainstream.'""; ""Owl on worms: 'looking for something artisanal.'"""
"Humor","Silly Words and Sounds (Onomatopoeia)","Using funny-sounding nonsense words or exaggerated sounds for actions.","""Words like 'Шлёп,' 'Бум,' 'Дзынь,' 'Кап-кап,' 'Хлюп.'""; ""'Лягушонок прыгнул в воду. ПЛЮХ! А потом высунул голову и сказал: 'КВА-КВА-ХЛЮП!''"""
